Date,Fuel,Food,Restaurants
12/1986,36.4,40.9,39.4
03/1987,37.2,41.3,40
06/1987,36.7,41.4,40.5
09/1987,36.2,42,41.2
12/1987,37.4,42.5,41.8
03/1988,37.4,43.3,42.2
06/1988,36,44.7,43
09/1988,35.3,45.9,43.6
12/1988,34.3,46.7,44.4
03/1989,34,47.3,44.6
06/1989,38,48.8,45.5
09/1989,37.8,50.2,46.6
12/1989,39.4,50.2,46.9
03/1990,41.8,50.1,47.9
06/1990,43,51.6,49.1
09/1990,44.2,51.4,49.4
12/1990,53.5,51.8,50.2
03/1991,45.2,52.7,50.5
06/1991,43.6,52.7,50.7
09/1991,44.9,53.2,51.2
12/1991,44.9,53.4,51.3
03/1992,44.6,53.4,51.5
06/1992,45.4,53.8,51.8
09/1992,46.2,53.7,52.4
12/1992,46.2,54,52.1
03/1993,45.2,54.9,52.3
06/1993,45.6,54.7,52.7
09/1993,44.9,55.1,52.7
12/1993,45.7,55.4,52.8
03/1994,44.3,55.3,53
06/1994,46.1,55.4,53.1
09/1994,45.8,55.9,53.8
12/1994,45,56.2,53.6
03/1995,46.4,57.1,53.9
06/1995,46.7,57.6,55
09/1995,48.3,58.4,55.5
12/1995,47.8,58.5,55.8
03/1996,48.2,58.5,56.1
06/1996,49,59.3,56.5
09/1996,47.8,59.8,56.8
12/1996,49.3,60.4,57.5
03/1997,50.7,60.7,57.4
06/1997,49.3,61.1,57.6
09/1997,48.6,61.1,57.9
12/1997,49.4,61.2,58.4
03/1998,48,61.7,58.7
06/1998,47.7,62.3,59.4
09/1998,46.3,63.2,59.4
12/1998,45.9,63.7,59.5
03/1999,45.5,64.4,60.1
06/1999,46.9,64.6,60.4
09/1999,50.8,65.1,60.9
12/1999,51.7,65.1,61.7
03/2000,56.8,65.2,62.3
06/2000,57,65.8,63.1
09/2000,62.8,67.2,68.7
12/2000,64.4,67.4,69.2
03/2001,63.3,69.3,69.6
06/2001,63.2,70.2,70.5
09/2001,57.9,71,70.9
12/2001,56.6,72.4,71
03/2002,57.8,72.5,71.9
06/2002,60,72.6,72.5
09/2002,59.2,73.7,73.2
12/2002,61.3,74.2,73.9
03/2003,68,75.2,74.2
06/2003,59.1,75.8,75
09/2003,60.6,75.9,75.3
12/2003,61.6,76.8,76.2
03/2004,65,77.7,77.2
06/2004,65.9,77.6,77.8
09/2004,67.6,77.5,78.3
12/2004,71.8,78,79.1
03/2005,71.1,78.3,79.7
06/2005,72.7,79,80.7
09/2005,80.1,80.1,81.8
12/2005,83.3,80.8,82.3
03/2006,85.5,81.5,83.1
06/2006,90.4,85.7,83.6
09/2006,88.2,88.2,84.3
12/2006,81.9,87.6,85
03/2007,83.5,85.2,85.8
06/2007,86.2,87.5,86.3
09/2007,82.4,89.7,87.4
12/2007,94,88.8,88.3
03/2008,98.7,90.1,89.1
06/2008,101.8,90.9,90.2
09/2008,103.9,92.6,91.3
12/2008,90,93.8,92.1
03/2009,81.7,95.3,93.2
06/2009,81,95.3,93.9
09/2009,84.8,94.8,94.2
12/2009,86.5,95.5,95.1
03/2010,88.5,96.1,95.9
06/2010,87.4,96.6,96.2
09/2010,85.1,96.3,96.5
12/2010,90.2,97.9,96.9
03/2011,96.2,100.3,97.4
06/2011,97.4,102.7,98.7
09/2011,97.4,102.4,99.1
12/2011,101.1,100.3,99.9
03/2012,101.5,98.1,100.4
06/2012,99.9,99.3,100.7
09/2012,97.9,101.1,101
12/2012,100.4,100.5,101.4
03/2013,101.6,99.8,101.7
06/2013,98.5,100.4,101.9
09/2013,106,100.3,102.4
12/2013,104.8,101.6,103.1
03/2014,109.1,102.1,103.4
06/2014,106.1,102.9,104
09/2014,103.4,103.7,104.7
12/2014,96.4,103.6,105.4
03/2015,84.6,104,105.9
06/2015,94.9,104.3,106.2
09/2015,93.3,103.9,106.8
12/2015,88,104,106.9
03/2016,79.2,103.9,107.5
06/2016,83.9,104.1,107.7
09/2016,81.5,105.5,108.3
12/2016,87,106,109.5
03/2017,92,105.8,109.9
06/2017,89.7,106.3,110.7
09/2017,87.6,104.8,111.1
12/2017,96.7,105.9,111.4
03/2018,97.6,106.2,111.9
06/2018,104.3,106.2,112.4
09/2018,105.8,106.8,112.6
12/2018,103.2,107.6,113.2
03/2019,94.2,108.7,113.4
06/2019,103.8,108.7,113.6
09/2019,101.7,109.2,114.3
12/2019,106.2,110.5,115.2
03/2020,99.8,112.2,116.1
06/2020,80.5,113.2,116.2
09/2020,88.1,112.9,115.8
12/2020,88.5,113,117.2
03/2021,96.2,113,117.8
06/2021,102.5,113.9,117.1
09/2021,109.8,114.5,119
